[00:01:08] [Server thread/INFO]: <Irx99> -272 -224
[00:01:35] [Server thread/INFO]: <Irx99> portal en -> -300 -250 aprox
[00:02:02] [Server thread/INFO]: <Irx99> -38 -31 en el nether
[00:30:08] [Server thread/INFO]: [Irx99: Gave 1 [Crossbow] to Lalmeja]
[00:30:23] [Server thread/INFO]: Lalmeja has made the advancement [Ol' Betsy]
[00:33:42] [Server thread/INFO]: [Irx99: Gave 1 [Crossbow] to Lalmeja]
[00:36:12] [User Authenticator #8/INFO]: UUID of player Tactical_July is 0d2b54fb-8cca-4784-9dbd-2be2b39de0f2
[00:36:12] [Server thread/INFO]: Tactical_July[/90.173.206.174:11692] logged in with entity id 47433 at (-515.3332496828516, 71.9375, -1666.277696538481)
[00:36:12] [Server thread/INFO]: Tactical_July joined the game
[00:36:33] [Server thread/INFO]: Lalmeja lost connection: Disconnected
[00:36:33] [Server thread/INFO]: Lalmeja left the game
[00:41:30] [User Authenticator #9/INFO]: UUID of player Lalmeja is 8c461d8d-abbc-4e52-a002-a3cb22077258
[00:41:30] [Server thread/INFO]: Lalmeja[/83.53.215.253:53594] logged in with entity id 50749 at (-535.8316316453568, 79.9375, -1671.5089115616752)
[00:41:30] [Server thread/INFO]: Lalmeja joined the game
[00:44:00] [Server thread/INFO]: [Irx99: Summoned new Small Fireball]
[00:44:15] [Server thread/INFO]: [Irx99: Summoned new Small Fireball]
[00:49:23] [Server thread/INFO]: [Irx99: Gave 1 [Crossbow] to Lalmeja]
[00:54:14] [Server thread/INFO]: [Irx99: Gave 3 [Firework Rocket] to Irx99]
[00:55:08] [Server thread/INFO]: [Irx99: Gave 5 [Firework Rocket] to Lalmeja]
[00:59:21] [Server thread/INFO]: [Irx99: Gave 3 [Firework Rocket] to Irx99]
[01:00:25] [Server thread/INFO]: [Irx99: Gave 1 [Firework Rocket] to Lalmeja]
[01:01:12] [Server thread/INFO]: [Irx99: Gave 3 [Firework Rocket] to Irx99]
[01:07:01] [Server thread/INFO]: Agonesc has made the advancement [Enchanter]
[01:07:30] [Server thread/INFO]: Irx99 fell out of the world
[01:07:30] [Server thread/INFO]: [Irx99: Killed 2 entities]
[01:07:47] [Server thread/INFO]: Lalmeja lost connection: Disconnected
[01:07:47] [Server thread/INFO]: Lalmeja left the game
[01:07:48] [Server thread/WARN]: handleDisconnection() called twice
[01:07:50] [Server thread/INFO]: Tactical_July lost connection: Disconnected
[01:07:50] [Server thread/INFO]: Tactical_July left the game
[01:07:50] [Server thread/INFO]: Agonesc lost connection: Disconnected
[01:07:50] [Server thread/INFO]: Agonesc left the game
[01:10:26] [Server thread/INFO]: [Irx99: Killed Small Fireball]
[01:14:43] [User Authenticator #10/INFO]: UUID of player Tactical_July is 0d2b54fb-8cca-4784-9dbd-2be2b39de0f2
[01:14:43] [Server thread/INFO]: Tactical_July[/90.173.206.174:12358] logged in with entity id 66819 at (-530.3000000119209, 72.0, -1638.6420012167516)
[01:14:43] [Server thread/INFO]: Tactical_July joined the game
[01:17:45] [User Authenticator #11/INFO]: UUID of player Lalmeja is 8c461d8d-abbc-4e52-a002-a3cb22077258
[01:17:45] [Server thread/INFO]: Lalmeja[/83.53.215.253:54074] logged in with entity id 67341 at (-529.3065000495436, 74.00133597911214, -1645.012499988079)
[01:17:45] [Server thread/INFO]: Lalmeja joined the game
[01:22:36] [Server thread/INFO]: Lalmeja has reached the goal [Beaconator]
[01:22:36] [Server thread/INFO]: Lalmeja has made the advancement [Bring Home the Beacon]
[01:24:43] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-284, y=96, z=-194} gh{x=-283, y=96, z=-194}
[01:27:35] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-278, y=114, z=-207} gh{x=-279, y=113, z=-209}
[01:27:35] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-278, y=114, z=-207} gh{x=-279, y=113, z=-209}
[01:27:35] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-278, y=114, z=-207} gh{x=-279, y=113, z=-209}
[01:27:35] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-278, y=114, z=-207} gh{x=-279, y=113, z=-209}
[01:27:35] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-278, y=114, z=-207} gh{x=-279, y=113, z=-209}
[01:27:35] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-278, y=114, z=-207} gh{x=-279, y=113, z=-209}
[01:27:35] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-278, y=114, z=-207} gh{x=-279, y=113, z=-209}
[01:27:35] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-278, y=114, z=-207} gh{x=-279, y=113, z=-209}
[01:27:40] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-274, y=111, z=-205} gh{x=-275, y=111, z=-204}
[01:27:40] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-274, y=111, z=-205} gh{x=-275, y=111, z=-204}
[01:27:40] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-274, y=111, z=-205} gh{x=-275, y=111, z=-204}
[01:27:41] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-274, y=111, z=-205} gh{x=-275, y=111, z=-204}
[01:27:41] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-274, y=111, z=-205} gh{x=-275, y=111, z=-204}
[01:27:41] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-274, y=111, z=-205} gh{x=-275, y=111, z=-204}
[01:27:41] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-274, y=111, z=-205} gh{x=-275, y=111, z=-204}
[01:27:41] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-274, y=111, z=-205} gh{x=-275, y=111, z=-204}
[01:27:41] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-274, y=111, z=-205} gh{x=-275, y=111, z=-204}
[01:27:41] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-274, y=111, z=-205} gh{x=-275, y=111, z=-204}
[01:27:45] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-273, y=103, z=-199} gh{x=-274, y=102, z=-198}
[01:27:45] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-273, y=103, z=-199} gh{x=-274, y=102, z=-198}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:01] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:02] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:02] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:02] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:02] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:02] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-280, y=102, z=-205} gh{x=-280, y=102, z=-204}
[01:28:12] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-281, y=101, z=-217} gh{x=-280, y=100, z=-217}
[01:28:30] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-284, y=104, z=-207} gh{x=-282, y=104, z=-207}
[01:28:30] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-284, y=104, z=-207} gh{x=-282, y=104, z=-207}
[01:28:30] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-284, y=104, z=-207} gh{x=-282, y=104, z=-207}
[01:28:30] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-284, y=104, z=-207} gh{x=-282, y=104, z=-207}
[01:28:30] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-284, y=104, z=-207} gh{x=-282, y=104, z=-207}
[01:28:30] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-284, y=104, z=-207} gh{x=-282, y=104, z=-207}
[01:28:30] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-284, y=104, z=-207} gh{x=-282, y=104, z=-207}
[01:28:30] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-284, y=104, z=-207} gh{x=-282, y=104, z=-207}
[01:28:30] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-284, y=104, z=-207} gh{x=-282, y=104, z=-207}
[01:28:30] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-284, y=104, z=-207} gh{x=-282, y=104, z=-207}
[01:28:30] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-284, y=104, z=-207} gh{x=-282, y=104, z=-207}
[01:28:32] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-283, y=104, z=-204} gh{x=-282, y=105, z=-205}
[01:28:32] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-283, y=104, z=-204} gh{x=-282, y=105, z=-205}
[01:28:32] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-283, y=104, z=-204} gh{x=-282, y=105, z=-205}
[01:28:35] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-285, y=101, z=-206} gh{x=-284, y=101, z=-205}
[01:28:35] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-285, y=101, z=-206} gh{x=-284, y=101, z=-205}
[01:28:35] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-285, y=101, z=-206} gh{x=-284, y=101, z=-205}
[01:28:35] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-285, y=101, z=-206} gh{x=-284, y=101, z=-205}
[01:29:35] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-279, y=119, z=-209} gh{x=-281, y=117, z=-209}
[01:29:37] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-279, y=126, z=-224} gh{x=-276, y=126, z=-224}
[01:29:38] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-279, y=126, z=-224} gh{x=-275, y=126, z=-224}
[01:29:47] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-279, y=122, z=-215} gh{x=-279, y=123, z=-215}
[01:29:47] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-279, y=122, z=-215} gh{x=-279, y=123, z=-215}
[01:29:47] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-279, y=122, z=-215} gh{x=-279, y=123, z=-215}
[01:29:47] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-279, y=122, z=-215} gh{x=-279, y=123, z=-215}
[01:29:47] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-279, y=122, z=-215} gh{x=-279, y=123, z=-215}
[01:29:47] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-279, y=122, z=-215} gh{x=-279, y=123, z=-215}
[01:29:47] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-279, y=122, z=-215} gh{x=-279, y=123, z=-215}
[01:29:47] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-279, y=122, z=-215} gh{x=-279, y=123, z=-215}
[01:29:47] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-279, y=122, z=-215} gh{x=-279, y=123, z=-215}
[01:30:00] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-277, y=120, z=-207} gh{x=-276, y=119, z=-208}
[01:30:03] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-272, y=118, z=-206} gh{x=-273, y=119, z=-207}
[01:30:26] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-272, y=112, z=-206} gh{x=-271, y=112, z=-206}
[01:30:27] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-272, y=112, z=-206} gh{x=-271, y=112, z=-206}
[01:30:27] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-272, y=112, z=-206} gh{x=-271, y=112, z=-206}
[01:30:27] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-272, y=112, z=-206} gh{x=-271, y=112, z=-206}
[01:30:27] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-272, y=112, z=-206} gh{x=-271, y=112, z=-206}
[01:30:27] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-272, y=112, z=-206} gh{x=-271, y=112, z=-206}
[01:30:27] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-272, y=112, z=-206} gh{x=-271, y=112, z=-206}
[01:30:27] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-272, y=112, z=-206} gh{x=-271, y=112, z=-206}
[01:30:27] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-272, y=112, z=-206} gh{x=-271, y=112, z=-206}
[01:30:27] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-272, y=112, z=-206} gh{x=-271, y=112, z=-206}
[01:30:27] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-272, y=112, z=-206} gh{x=-271, y=112, z=-206}
[01:30:27] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-272, y=112, z=-206} gh{x=-271, y=112, z=-206}
[01:30:36] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-277, y=107, z=-204} gh{x=-275, y=106, z=-205}
[01:30:43] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-274, y=103, z=-206} gh{x=-275, y=101, z=-207}
[01:30:48] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-276, y=100, z=-198} gh{x=-278, y=100, z=-199}
[01:30:48] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-276, y=100, z=-198} gh{x=-278, y=100, z=-199}
[01:30:48] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-276, y=100, z=-198} gh{x=-278, y=100, z=-199}
[01:30:52] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-277, y=98, z=-197} gh{x=-276, y=99, z=-197}
[01:30:52] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-277, y=98, z=-197} gh{x=-276, y=99, z=-197}
[01:30:52] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-277, y=98, z=-197} gh{x=-276, y=99, z=-197}
[01:31:02] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-281, y=121, z=-216} gh{x=-281, y=121, z=-217}
[01:31:02] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-281, y=121, z=-216} gh{x=-281, y=121, z=-217}
[01:31:02] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-281, y=121, z=-216} gh{x=-281, y=121, z=-217}
[01:31:24] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-286, y=99, z=-203} gh{x=-286, y=98, z=-203}
[01:31:24] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-286, y=99, z=-203} gh{x=-286, y=98, z=-203}
[01:31:34] [Server thread/WARN]: Mismatch in destroy block pos: gh{x=-276, y=100, z=-207} gh{x=-276, y=99, z=-208}
